Genre,Country,Percent
Folk/Roots,SE,0
Ghazal,SE,0
Hindustani Classical,SE,0
Indie/Alternative,SE,4.9642682
Italiana,SE,0
Jazz,SE,4.2558946
Khaleeji,SE,0
Latin Music,SE,0
Mandarin Pop,SE,0
Metal,SE,10.4544543
Nederlandstalig,SE,0
Oriental Pop,SE,0
Pop,SE,35.397617
Rap/Hip Hop,SE,3.4981383
Reggae,SE,0
Rock,SE,27.294524
Schlager,SE,0
Shanson,SE,0
Soul/R 'n' B/Funk,SE,4.9210375
Soundtracks/Musicals/Theatre,SE,0
Spoken Word,SE,0
French Variety,SE,0
World,SE,0
Afrikaans,SG,0
Bollywood,SG,0
Cantonese Pop,SG,5.4048009
Christian/Gospel,SG,0
Classical,SG,5.490236
Country and Western,SG,3.2148079
Dance,SG,3.1482232
Devotional,SG,0
Easy Listening/Oldies,SG,0
Electronica,SG,0
Flamenco,SG,0
Folk/Roots,SG,0
Ghazal,SG,0
Hindustani Classical,SG,0
Indie/Alternative,SG,0
Italiana,SG,0
Jazz,SG,4.3904254
Khaleeji,SG,0
Latin Music,SG,0
Mandarin Pop,SG,13.305798
Metal,SG,0
Nederlandstalig,SG,0
Oriental Pop,SG,0
Pop,SG,38.7371516
Rap/Hip Hop,SG,0
Reggae,SG,0
Rock,SG,16.5541957
Schlager,SG,0
Shanson,SG,0
Soul/R 'n' B/Funk,SG,5.7808611
Soundtracks/Musicals/Theatre,SG,3.9735003
Spoken Word,SG,0
French Variety,SG,0
World,SG,0
Afrikaans,TR,0
Bollywood,TR,0
Cantonese Pop,TR,0
Christian/Gospel,TR,0
Classical,TR,0
Country and Western,TR,0
Dance,TR,5.9019402
Devotional,TR,0
Easy Listening/Oldies,TR,0
Electronica,TR,0
Flamenco,TR,0
Folk/Roots,TR,19.9393207
Ghazal,TR,0
Hindustani Classical,TR,0
Indie/Alternative,TR,1.8555832
Italiana,TR,0
Jazz,TR,3.6733548
Khaleeji,TR,0
Latin Music,TR,0
Mandarin Pop,TR,0
Metal,TR,3.5146357
Nederlandstalig,TR,0
Oriental Pop,TR,0
Pop,TR,43.2963908
Rap/Hip Hop,TR,2.974289
Reggae,TR,0
Rock,TR,12.6469217
Schlager,TR,0
Shanson,TR,0
Soul/R 'n' B/Funk,TR,3.4816382
Soundtracks/Musicals/Theatre,TR,2.7159256
Spoken Word,TR,0
French Variety,TR,0
World,TR,0
Afrikaans,ZA,3.9376354
Bollywood,ZA,0
Cantonese Pop,ZA,0
Christian/Gospel,ZA,3.7868619
Classical,ZA,0
Country and Western,ZA,3.2030084
Dance,ZA,6.2288839
Devotional,ZA,0
Easy Listening/Oldies,ZA,0
Electronica,ZA,0
Flamenco,ZA,0
Folk/Roots,ZA,0
Ghazal,ZA,0
Hindustani Classical,ZA,0
Indie/Alternative,ZA,3.6539319
Italiana,ZA,0
Jazz,ZA,0
Khaleeji,ZA,0
Latin Music,ZA,0
Mandarin Pop,ZA,0
Metal,ZA,4.6754346
Nederlandstalig,ZA,0
Oriental Pop,ZA,0
Pop,ZA,34.3516765
Rap/Hip Hop,ZA,6.6907212
Reggae,ZA,0
Rock,ZA,26.0741224
Schlager,ZA,0
Shanson,ZA,0
Soul/R 'n' B/Funk,ZA,7.3977237
Soundtracks/Musicals/Theatre,ZA,0
Spoken Word,ZA,0
French Variety,ZA,0
World,ZA,0
